text,href,domain,type
AOC-4 NBFC CFS - Consolidated financial statements for NBFCs,/content/mca/global/en/mca/e-filing/annual-filings/form-aoc4cfsnbfc.html,www.mca.gov.in (relative),INTERNAL
AOC-4 NBFC CFS - Consolidated financial statements for NBFCs - OFFLINE,/content/mca/global/en/mca/e-filing/annual-filings/form-aoc4cfsnbfc-offline.html,www.mca.gov.in (relative),INTERNAL
MGT-7 - Annual Return other than OPCs and Small Companies,/content/mca/global/en/mca/e-filing/annual-filings/form-mgt7.html,www.mca.gov.in (relative),INTERNAL
MGT-7 - Annual Return other than OPCs and Small Companies - OFFLINE,/content/mca/global/en/mca/e-filing/annual-filings/form-mgt7-offline.html,www.mca.gov.in (relative),INTERNAL
MGT-7A - Abridged Annual Return for OPCs and Small Companies,/content/mca/global/en/mca/e-filing/annual-filings/form-mgt7a.html,www.mca.gov.in (relative),INTERNAL
MGT-7A - Abridged Annual Return for OPCs and Small Companies - OFFLINE,/content/mca/global/en/mca/e-filing/annual-filings/form-mgt7a-offline.html,www.mca.gov.in (relative),INTERNAL
MGT-15 - Report on Annual General Meeting,/content/mca/global/en/mca/e-filing/annual-filings/form-mgt15.html,www.mca.gov.in (relative),INTERNAL
"Foreign company, Deposits &amp; Nidhi services",/content/mca/global/en/mca/e-filing/foreigncompany-deposits-and-Nidhi-services.html,www.mca.gov.in (relative),INTERNAL
Form DPT 3 – Return of deposits,/content/mca/global/en/mca/e-filing/foreigncompany-deposits-and-Nidhi-services/DPT-3.html,www.mca.gov.in (relative),INTERNAL
Form DPT 4 – Statement regarding deposits existing on the commencement of the Act,/content/mca/global/en/mca/e-filing/foreigncompany-deposits-and-Nidhi-services/DPT-4.html,www.mca.gov.in (relative),INTERNAL
NDH-1 – Return of Statutory Compliances,/content/mca/global/en/mca/e-filing/foreigncompany-deposits-and-Nidhi-services/form-ndh1.html,www.mca.gov.in (relative),INTERNAL
NDH-2 - Application for extension of time,/content/mca/global/en/mca/e-filing/foreigncompany-deposits-and-Nidhi-services/form-ndh2.html,www.mca.gov.in (relative),INTERNAL
NDH-3 - Return of Nidhi Company (Half year),/content/mca/global/en/mca/e-filing/foreigncompany-deposits-and-Nidhi-services/form-ndh3.html,www.mca.gov.in (relative),INTERNAL
NDH-4 - Declaration as Nidhi Company,/content/mca/global/en/mca/e-filing/foreigncompany-deposits-and-Nidhi-services/ndh-4-.html,www.mca.gov.in (relative),INTERNAL
FC-1 - Information by foreign company,/content/mca/global/en/mca/e-filing/foreigncompany-deposits-and-Nidhi-services/FormFC1.html,www.mca.gov.in (relative),INTERNAL
FC-2 - Alteration in the documents of foreign company,/content/mca/global/en/mca/e-filing/foreigncompany-deposits-and-Nidhi-services/FC-2-Alteration-in-the-documents-of-foreign-company.html,www.mca.gov.in (relative),INTERNAL
FC-3 - Annual accounts by foreign company,/content/mca/global/en/mca/e-filing/foreigncompany-deposits-and-Nidhi-services/FC-3.html,www.mca.gov.in (relative),INTERNAL
FC-4 - Annual accounts by foreign company,/content/mca/global/en/mca/e-filing/foreigncompany-deposits-and-Nidhi-services/FC-4.html,www.mca.gov.in (relative),INTERNAL
Companies Act 1956 Forms,/content/mca/global/en/mca/e-filing/companies-act-1956-forms.html,www.mca.gov.in (relative),INTERNAL
Form 20B - Filing annual return by a company having a share capital with the Registrar,/content/mca/global/en/mca/e-filing/companies-act-1956-forms/form-20b.html,www.mca.gov.in (relative),INTERNAL
Form 21A - Particulars of annual return for the company not having share capital,/content/mca/global/en/mca/e-filing/companies-act-1956-forms/form-21a.html,www.mca.gov.in (relative),INTERNAL
23AC - Filing balance sheet,/content/mca/global/en/mca/e-filing/companies-act-1956-forms/form-23ac.html,www.mca.gov.in (relative),INTERNAL
23AC XBRL - Filing XBRL document (Balance sheet),/content/mca/global/en/mca/e-filing/companies-act-1956-forms/form-23ac-xbrl.html,www.mca.gov.in (relative),INTERNAL
Form 23B - Information by auditor to Registrar,/content/mca/global/en/mca/e-filing/companies-act-1956-forms/form-23b.html,www.mca.gov.in (relative),INTERNAL
Form 23C - Application for appointment of cost auditor,/content/mca/global/en/mca/e-filing/companies-act-1956-forms/form-23c.html,www.mca.gov.in (relative),INTERNAL
Form 23D - Information by cost auditor to Central Government,/content/mca/global/en/mca/e-filing/companies-act-1956-forms/form-23d.html,www.mca.gov.in (relative),INTERNAL
Form A-XBRL - Filing XBRL document in respect of compliance report and other documents with the Central Government,/content/mca/global/en/mca/e-filing/companies-act-1956-forms/form-a-xbrl.html,www.mca.gov.in (relative),INTERNAL
Form 66 - Submission of compliance certificate with the Registrar,/content/mca/global/en/mca/e-filing/companies-act-1956-forms/form-66.html,www.mca.gov.in (relative),INTERNAL
Form I-XBRL - Filing XBRL document in respect of cost audit report and other documents with the Central Government,/content/mca/global/en/mca/e-filing/companies-act-1956-forms/form-i-xbrl.html,www.mca.gov.in (relative),INTERNAL
Complaints,/content/mca/global/en/mca/complaints.html,www.mca.gov.in (relative),INTERNAL
Create Service Related Complaint,/content/mca/global/en/mca/complaints/create-service-related-complaint.html,www.mca.gov.in (relative),INTERNAL
Track/Update Service Related Complaint,/content/mca/global/en/mca/complaints/track-service-related-complaint.html,www.mca.gov.in (relative),INTERNAL
FeedBack/Suggestions,/content/mca/global/en/mca/complaints/feedback-suggestions.html,www.mca.gov.in (relative),INTERNAL
Document Related Services,/content/mca/global/en/mca/document-related-services.html,www.mca.gov.in (relative),INTERNAL
View Public Documents V3,/content/mca/global/en/mca/document-related-services/view-public-documents-v3.html,www.mca.gov.in (relative),INTERNAL
View Public Documents,/content/mca/global/en/mca/document-related-services/view-public-documents-v3/view-public-documents.html,www.mca.gov.in (relative),INTERNAL
My Cart,/content/mca/global/en/mca/document-related-services/view-public-documents-v3/mycart.html,www.mca.gov.in (relative),INTERNAL
Workspace,/content/mca/global/en/mca/document-related-services/view-public-documents-v3/workspace.html,www.mca.gov.in (relative),INTERNAL
Get Certified Copies,/content/mca/global/en/mca/document-related-services/get-certified-copies-v3.html,www.mca.gov.in (relative),INTERNAL
My Cart GCC,/content/mca/global/en/mca/document-related-services/get-certified-copies-v3/my-cart-gcc.html,www.mca.gov.in (relative),INTERNAL
My Workspace GCC,/content/mca/global/en/mca/document-related-services/get-certified-copies-v3/my-workspace-gcc.html,www.mca.gov.in (relative),INTERNAL
Request For Scanned Documents,/content/mca/global/en/mca/document-related-services/request-for-scanned-documents-v3.html,www.mca.gov.in (relative),INTERNAL
Fee And Payment Services,/content/mca/global/en/mca/fee-and-payment-services.html,www.mca.gov.in (relative),INTERNAL
Pay Miscellaneous Fee,/content/mca/global/en/mca/fee-and-payment-services/pay-miscellaneous-fee.html,www.mca.gov.in (relative),INTERNAL
Pay Stamp Duty,/content/mca/global/en/mca/fee-and-payment-services/pay-stamp-duty.html,www.mca.gov.in (relative),INTERNAL
Track Payment Status,/content/mca/global/en/mca/fee-and-payment-services/track-payment-status.html,www.mca.gov.in (relative),INTERNAL
IEPF related services,/content/mca/global/en/mca/iepf-related-services.html,www.mca.gov.in (relative),INTERNAL
IEPF-1 - Statement of amounts credited/Transfer of amounts,/content/mca/global/en/mca/iepf-related-services/IEPF-1.html,www.mca.gov.in (relative),INTERNAL
